assessment_year,industry,company_id,parent_aspect,aspect,score_weight,score_value
2020,HOM Homebuilding,35158461,Social Dimension,Social Reporting,4,0.0
2020,HOM Homebuilding,35158461,Social Dimension,Talent Attraction & Retention,6,0.0
2020,HOM Homebuilding,35158461,,S&P Global ESG Score,100,0.91
2020,HOM Homebuilding,38012098,Environmental Dimension,Biodiversity,3,0.0
2020,HOM Homebuilding,38012098,Environmental Dimension,Building Materials,6,0.0
2020,HOM Homebuilding,38012098,Environmental Dimension,Climate Strategy,5,0.0
2020,HOM Homebuilding,38012098,Environmental Dimension,Environmental Policy & Management Systems,5,0.0
2020,HOM Homebuilding,38012098,Environmental Dimension,Environmental Reporting,4,0.0
2020,HOM Homebuilding,38012098,Environmental Dimension,Operational Eco-Efficiency,7,0.0
2020,HOM Homebuilding,38012098,Environmental Dimension,Resource Conservation & Resource Efficiency,7,0.0
2020,HOM Homebuilding,38012098,Governance & Economic Dimension,Codes of Business Conduct,8,0.0
2020,HOM Homebuilding,38012098,Governance & Economic Dimension,Corporate Governance,8,2.4
2020,HOM Homebuilding,38012098,Governance & Economic Dimension,Information Security/ Cybersecurity & System Availability,2,
2020,HOM Homebuilding,38012098,Governance & Economic Dimension,Materiality,3,0.0
2020,HOM Homebuilding,38012098,Governance & Economic Dimension,Policy Influence,2,0.0
2020,HOM Homebuilding,38012098,Governance & Economic Dimension,Risk & Crisis Management,6,0.0
2020,HOM Homebuilding,38012098,S&P Global ESG Score,Environmental Dimension,37,0.0
2020,HOM Homebuilding,38012098,S&P Global ESG Score,Governance & Economic Dimension,29,0.711111
2020,HOM Homebuilding,38012098,S&P Global ESG Score,Social Dimension,34,0.0
2020,HOM Homebuilding,38012098,Social Dimension,Corporate Citizenship & Philanthropy,3,0.0
2020,HOM Homebuilding,38012098,Social Dimension,Human Capital Development,6,0.0
2020,HOM Homebuilding,38012098,Social Dimension,Human Rights,3,0.0
2020,HOM Homebuilding,38012098,Social Dimension,Labor Practice Indicators,3,0.0
2020,HOM Homebuilding,38012098,Social Dimension,Occupational Health & Safety,7,0.0
2020,HOM Homebuilding,38012098,Social Dimension,Social Integration & Regeneration,2,0.0
2020,HOM Homebuilding,38012098,Social Dimension,Social Reporting,4,0.0
2020,HOM Homebuilding,38012098,Social Dimension,Talent Attraction & Retention,6,0.0
2020,HOM Homebuilding,38012098,,S&P Global ESG Score,100,0.206222
2020,HOM Homebuilding,38012348,Environmental Dimension,Biodiversity,3,0.0
2020,HOM Homebuilding,38012348,Environmental Dimension,Building Materials,6,0.0
2020,HOM Homebuilding,38012348,Environmental Dimension,Climate Strategy,5,0.0
2020,HOM Homebuilding,38012348,Environmental Dimension,Environmental Policy & Management Systems,5,3.5
2020,HOM Homebuilding,38012348,Environmental Dimension,Environmental Reporting,4,0.0
2020,HOM Homebuilding,38012348,Environmental Dimension,Operational Eco-Efficiency,7,0.0
2020,HOM Homebuilding,38012348,Environmental Dimension,Resource Conservation & Resource Efficiency,7,0.0
2020,HOM Homebuilding,38012348,Governance & Economic Dimension,Codes of Business Conduct,8,19.318
2020,HOM Homebuilding,38012348,Governance & Economic Dimension,Corporate Governance,8,21.789474
2020,HOM Homebuilding,38012348,Governance & Economic Dimension,Information Security/ Cybersecurity & System Availability,2,5.0
2020,HOM Homebuilding,38012348,Governance & Economic Dimension,Materiality,3,0.0
2020,HOM Homebuilding,38012348,Governance & Economic Dimension,Policy Influence,2,0.0
2020,HOM Homebuilding,38012348,Governance & Economic Dimension,Risk & Crisis Management,6,20.3
2020,HOM Homebuilding,38012348,S&P Global ESG Score,Environmental Dimension,37,0.472973
2020,HOM Homebuilding,38012348,S&P Global ESG Score,Governance & Economic Dimension,29,15.88482
2020,HOM Homebuilding,38012348,S&P Global ESG Score,Social Dimension,34,3.529412
2020,HOM Homebuilding,38012348,Social Dimension,Corporate Citizenship & Philanthropy,3,0.0
2020,HOM Homebuilding,38012348,Social Dimension,Human Capital Development,6,20.0
2020,HOM Homebuilding,38012348,Social Dimension,Human Rights,3,0.0
2020,HOM Homebuilding,38012348,Social Dimension,Labor Practice Indicators,3,0.0
2020,HOM Homebuilding,38012348,Social Dimension,Occupational Health & Safety,7,0.0
2020,HOM Homebuilding,38012348,Social Dimension,Social Integration & Regeneration,2,0.0
2020,HOM Homebuilding,38012348,Social Dimension,Social Reporting,4,0.0
2020,HOM Homebuilding,38012348,Social Dimension,Talent Attraction & Retention,6,0.0
2020,HOM Homebuilding,38012348,,S&P Global ESG Score,100,5.981598
2020,HOM Homebuilding,45986509,Environmental Dimension,Biodiversity,3,0.0
2020,HOM Homebuilding,45986509,Environmental Dimension,Building Materials,6,0.0
2020,HOM Homebuilding,45986509,Environmental Dimension,Climate Strategy,5,0.0
2020,HOM Homebuilding,45986509,Environmental Dimension,Environmental Policy & Management Systems,5,0.0
2020,HOM Homebuilding,45986509,Environmental Dimension,Environmental Reporting,4,0.0
2020,HOM Homebuilding,45986509,Environmental Dimension,Operational Eco-Efficiency,7,0.0
2020,HOM Homebuilding,45986509,Environmental Dimension,Resource Conservation & Resource Efficiency,7,0.0
2020,HOM Homebuilding,45986509,Governance & Economic Dimension,Codes of Business Conduct,8,0.0
2020,HOM Homebuilding,45986509,Governance & Economic Dimension,Corporate Governance,8,29.064912
2020,HOM Homebuilding,45986509,Governance & Economic Dimension,Information Security/ Cybersecurity & System Availability,2,0.0
2020,HOM Homebuilding,45986509,Governance & Economic Dimension,Materiality,3,0.0
2020,HOM Homebuilding,45986509,Governance & Economic Dimension,Policy Influence,2,0.0
2020,HOM Homebuilding,45986509,Governance & Economic Dimension,Risk & Crisis Management,6,20.3
2020,HOM Homebuilding,45986509,S&P Global ESG Score,Environmental Dimension,37,0.0
2020,HOM Homebuilding,45986509,S&P Global ESG Score,Governance & Economic Dimension,29,12.217907
2020,HOM Homebuilding,45986509,S&P Global ESG Score,Social Dimension,34,3.529412
2020,HOM Homebuilding,45986509,Social Dimension,Corporate Citizenship & Philanthropy,3,0.0
2020,HOM Homebuilding,45986509,Social Dimension,Human Capital Development,6,20.0
2020,HOM Homebuilding,45986509,Social Dimension,Human Rights,3,0.0
2020,HOM Homebuilding,45986509,Social Dimension,Labor Practice Indicators,3,0.0
2020,HOM Homebuilding,45986509,Social Dimension,Occupational Health & Safety,7,0.0
2020,HOM Homebuilding,45986509,Social Dimension,Social Integration & Regeneration,2,0.0
2020,HOM Homebuilding,45986509,Social Dimension,Social Reporting,4,0.0
2020,HOM Homebuilding,45986509,Social Dimension,Talent Attraction & Retention,6,0.0
2020,HOM Homebuilding,45986509,,S&P Global ESG Score,100,4.743193
2020,ICS Commercial Services & Supplies,5927176,Environmental Dimension,Climate Strategy,8,0.0
2020,ICS Commercial Services & Supplies,5927176,Environmental Dimension,Environmental Policy & Management Systems,5,9.2
2020,ICS Commercial Services & Supplies,5927176,Environmental Dimension,Environmental Reporting,4,0.0
2020,ICS Commercial Services & Supplies,5927176,Environmental Dimension,Operational Eco-Efficiency,8,18.533759
2020,ICS Commercial Services & Supplies,5927176,Governance & Economic Dimension,Codes of Business Conduct,8,26.88
2020,ICS Commercial Services & Supplies,5927176,Governance & Economic Dimension,Corporate Governance,8,32.483041
2020,ICS Commercial Services & Supplies,5927176,Governance & Economic Dimension,Customer Relationship Management,3,0.0
2020,ICS Commercial Services & Supplies,5927176,Governance & Economic Dimension,Information Security/ Cybersecurity & System Availability,2,
2020,ICS Commercial Services & Supplies,5927176,Governance & Economic Dimension,Materiality,3,0.0
2020,ICS Commercial Services & Supplies,5927176,Governance & Economic Dimension,Policy Influence,3,0.0
2020,ICS Commercial Services & Supplies,5927176,Governance & Economic Dimension,Risk & Crisis Management,6,0.0
2020,ICS Commercial Services & Supplies,5927176,Governance & Economic Dimension,Supply Chain Management,6,0.0
2020,ICS Commercial Services & Supplies,5927176,S&P Global ESG Score,Environmental Dimension,25,7.770803
2020,ICS Commercial Services & Supplies,5927176,S&P Global ESG Score,Governance & Economic Dimension,39,12.835252
2020,ICS Commercial Services & Supplies,5927176,S&P Global ESG Score,Social Dimension,36,0.0
2020,ICS Commercial Services & Supplies,5927176,Social Dimension,Corporate Citizenship & Philanthropy,3,0.0
2020,ICS Commercial Services & Supplies,5927176,Social Dimension,Human Capital Development,6,0.0
